Company Name,Ticker Symbol,Industry Name,SIC Code,Exchange Code,Stock Price,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,Book Value of Equity,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings
Sunair Services Corp.,SNR,Diversified Co.,9913,AMS,$2.74,40463,13.1,$35.90,20.6,$56.50,$53.50,$3.00,$56.60,$52.40,NA,NA,NA,NA,NA,0.69,0.63,41.15,8.77,0.77,0.78,0.95,1.02,NA,NA,NA,-11.64%,0.74,0.6,0.46,0.5508,-$4.13,17.43%,NA,-317.64%,-8.83%,1.87%,-8.13%,2.30%,69.7,$52.10,$81.80,-$2.30,$0.17,-$4.60,$1.30,$1.30,$6.10,$5.43,0.00%,-4.06%,5.31%,5.30%,3.67%,$0.50,$4.80,$38.50,$52.40,-$2.30,$0.00,85.09%,2.32%,57.38%,36.46%,28.34%,0.00%,NA,14.77%
Suncor Energy,SU.TO,Canadian Energy,1299,TSE,$37.21,5513552,931.5,"$34,587.50",7886,"$42,473.50","$41,813.50",$660.00,"$30,089.00","$22,915.00",16.19,72.97,$3.52,10.57,1.80,2.38,1.15,5.28,4.66,1.92,1.90,1.39,1.82,26.00%,9.00%,2.50%,66.71%,1.17,1.3,0.32,0.4139,"$6,350.36",50.25%,134.30%,117.54%,14.71%,24.84%,7.10%,26.32%,21749,"$14,523.00","$32,528.00",-$941.00,$224.36,"$2,137.00","$7,918.00","$5,402.53","$8,967.00",-$947.83,31.77%,-3.13%,1.55%,2.19%,2.03%,"$7,175.00","$1,049.00","$4,044.00","$22,915.00",$474.00,"$2,870.00",0.00%,87.05%,22.80%,18.57%,35.19%,8.30%,NA,62.07%
Sunesis Pharmaceuticals Inc.,SNSS,Biotechnology,2830,NDQ,$1.07,1280837,34.4,$46.10,0,$46.10,$35.50,$10.60,$5.40,$3.70,NA,NA,NA,NA,NA,7.09,8.54,NA,NA,NA,NA,6.57,9.59,NA,NA,NA,-43.98%,1.76,0.8,0.96,0.9814,$0.77,13.04%,NA,NA,-572.31%,NA,-688.89%,-577.59%,-4.1,$6.50,$12.80,-$5.30,$1.67,-$37.20,-$31.19,-$31.19,-$30.09,-$31.96,0.00%,-98.15%,22.99%,196.30%,82.81%,$0.20,$1.10,$11.50,$3.70,-$43.10,$0.00,0.00%,4.69%,0.00%,0.00%,0.00%,0.00%,NA,22.07%
Sunlink Health Sys,SSY,Medical Services,8000,AMS,$1.84,13622,8.1,$13.30,38.9,$52.20,$49.80,$2.40,$199.30,$200.40,14.78,6.33,NA,NA,NA,0.32,0.07,1.44,1.20,0.64,0.65,0.25,0.25,12.50%,NA,NA,22.64%,1.28,1.15,0.71,0.6382,-$5.22,28.83%,0.00%,-31.18%,2.15%,21.37%,0.45%,17.36%,78.3,$41.80,$107.40,$14.70,$0.08,$0.90,$34.60,$16.74,$41.50,$21.96,51.63%,7.38%,4.60%,1.20%,2.23%,$1.60,$6.90,$27.80,$200.40,$2.10,$0.00,20.48%,42.92%,292.48%,74.52%,48.20%,0.00%,NA,21.52%
Sunoco Inc.,SUN,Petroleum (Integrated),2900,NYS,$26.10,3353771,116.9,"$2,983.50",2163,"$5,146.50","$4,906.50",$240.00,"$54,146.00","$31,479.00",3.41,9.27,$1.46,17.88,NA,1.05,0.06,2.30,1.85,1.03,1.03,0.09,0.16,38.00%,-6.00%,5.00%,22.52%,0.49,1.05,0.38,0.4408,"$1,141.07",38.11%,88.28%,82.27%,30.75%,29.11%,1.61%,3.94%,4765,"$2,842.00","$11,150.00",-$884.00,$370.07,$874.00,"$2,136.00","$1,386.97","$2,651.00",$245.90,35.07%,-1.63%,4.66%,0.44%,2.15%,"$1,286.00",$515.00,$938.00,"$31,479.00",$322.00,$771.60,0.00%,69.95%,72.50%,42.03%,43.22%,25.86%,1.10%,76.13%
Sunoco Logistics Partners L.P.,SXL,Petroleum (Producing),1300,NYS,$66.89,90342,28.7,"$2,069.80",747.6,"$2,817.40","$2,815.40",$2.00,"$10,112.30","$5,335.10",9.40,7.63,$6.58,10.17,2.35,3.09,0.20,10.54,9.17,1.99,1.99,0.28,0.53,NA,4.00%,NA,36.73%,NA,0.9,0.22,NA,$122.61,NA,282.07%,45.92%,32.87%,18.86%,2.18%,2.64%,1415.5,$669.90,"$2,308.20",-$35.80,$16.91,$220.20,$267.00,$267.00,$307.10,$144.39,0.00%,-0.35%,0.07%,0.02%,0.09%,$145.80,$40.10,$59.30,"$5,335.10",$271.30,$621.11,0.00%,59.59%,36.12%,26.54%,52.74%,30.01%,NA,31.80%
SunOpta Inc.,STKL,Food Processing,2000,NDQ,$3.36,326447,64.5,$217.90,206.4,$424.30,$399.50,$24.80,"$1,055.20",$988.60,NA,NA,NA,NA,NA,0.96,0.21,13.01,7.97,0.98,0.98,0.38,0.40,-41.00%,NA,NA,30.46%,2.25,1.45,0.70,0.9144,-$22.25,25.37%,NA,-72.48%,-4.81%,7.52%,-1.03%,2.91%,408.4,$226.80,$581.00,$197.30,-$12.45,-$10.90,$30.70,$30.70,$50.10,$52.95,0.00%,18.70%,5.84%,2.35%,4.27%,$9.60,$19.40,$138.80,$988.60,-$22.30,$0.00,20.86%,18.35%,94.72%,48.64%,47.65%,0.00%,NA,49.39%
SunPower Corp.,SPWRA,Power,4900,NDQ,$23.68,2447655,85.9,"$2,355.40",478.2,"$2,833.60","$2,600.80",$232.80,"$1,434.90","$1,378.70",24.48,38.18,$0.90,26.31,1.69,2.31,1.64,10.64,8.26,2.05,1.89,1.81,1.89,NA,14.50%,22.00%,82.42%,1.93,1.75,0.40,0.7064,$188.57,39.64%,0.00%,143.71%,9.42%,10.36%,6.70%,17.04%,1266.8,"$1,021.40","$2,076.10",$164.10,-$6.43,$96.20,$244.50,$131.22,$315.00,-$57.35,46.33%,11.44%,8.22%,16.22%,11.21%,$265.50,$70.50,$195.20,"$1,378.70",$61.70,$0.00,11.38%,29.51%,20.30%,16.88%,31.89%,0.00%,2.60%,58.23%
Sunrise Senior Living,SRZ,Medical Services,8000,NYS,$3.22,1407834,50.9,$154.20,541.1,$695.30,$665.80,$29.50,"$1,701.60","$1,595.10",NA,NA,NA,NA,NA,1.11,0.09,NA,NA,1.02,1.02,0.39,0.42,NA,NA,NA,2.33%,5.34,2.75,0.91,1.9762,$131.06,22.26%,NA,NA,-274.22%,-52.01%,-22.32%,-19.87%,650.1,$138.50,"$1,381.60",-$82.50,$5.16,-$379.80,-$338.11,-$338.11,-$286.81,-$469.17,0.00%,-4.85%,4.24%,1.73%,2.14%,$177.20,$51.30,$163.20,"$1,595.10",-$425.50,$0.00,0.00%,49.32%,350.91%,77.82%,79.62%,0.00%,2.29%,43.17%
Sunrise Telecom Inc,SRTI,Telecom. Equipment,4811,NDQ,$0.56,71290,51.3,$35.40,2,$37.40,$28.20,$9.20,$80.70,$68.70,NA,NA,NA,NA,NA,0.81,0.44,NA,NA,0.77,0.82,0.35,0.41,NA,NA,NA,-13.65%,0.02,0.9,0.54,0.5377,-$3.38,26.78%,NA,NA,-78.90%,-31.59%,-42.63%,-14.25%,36.4,$43.60,$65.20,$15.30,-$2.28,-$34.40,-$11.50,-$11.50,-$7.60,-$8.12,0.00%,18.96%,24.60%,11.40%,14.11%,$2.80,$3.90,$58.80,$68.70,-$27.10,$0.00,0.00%,30.83%,5.65%,5.35%,4.39%,0.00%,NA,14.05%
Sunstone Hotel Investors Inc,SHO,R.E.I.T.,6720,NYS,$3.64,1244636,0,$0.00,0,$0.00,$0.00,$0.00,NA,$800.60,NA,NA,$0.69,5.28,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,-16.00%,NA,NA,3.22,1.75,NA,0.86,NA,32.56%,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,$0.00,$0.00,$0.00,$800.60,-$118.80,$0.00,NA,NA,NA,NA,NA,NA,NA,79.39%
Suntech Power Hldgs.,STP,Power,4900,NYS,$16.63,5416218,155.9,"$2,626.60",1625.6,"$4,252.20","$3,673.70",$578.50,"$1,923.50","$1,524.20",29.78,NA,$0.66,25.20,1.65,2.44,1.37,16.39,13.83,1.73,1.57,1.91,2.41,NA,18.00%,13.50%,40.14%,3.24,2,0.62,0.9799,$208.08,32.66%,0.00%,94.57%,8.21%,10.37%,4.59%,11.65%,2121.5,"$1,074.40","$3,223.80",$405.20,-$84.12,$88.20,$224.10,$220.03,$265.70,$11.95,1.82%,21.07%,13.60%,30.08%,17.94%,$333.80,$41.60,$160.40,"$1,524.20",-$47.10,$0.00,8.20%,21.23%,61.89%,38.23%,60.21%,0.00%,NA,41.34%
SunTrust Banks,STI,Bank,6000,NYS,$20.29,13148053,354.5,"$10,122.70",26812.4,"$36,935.10","$31,312.30","$5,622.80",NA,NA,70.94,NA,NA,NA,NA,0.59,NA,4.41,4.41,0.82,0.84,NA,NA,-6.50%,-5.00%,NA,NA,1.35,1.1,0.67,0.5404,NA,32.57%,0.00%,NA,0.83%,16.52%,NA,NA,38356,"$17,166.40","$189,138.00",$0.00,NA,$142.70,"$7,093.40","$6,334.69","$7,093.40",NA,10.70%,NA,15.22%,NA,2.97%,$0.00,$0.00,"$2,377.50",NA,"-$1,377.90",$0.00,4.27%,0.00%,264.87%,72.59%,60.97%,0.00%,1.00%,71.41%
SunVesta Inc,SVSA,Computer Software/Svcs,3579,NDQ,$0.07,4653,30.7,$11.40,3,$14.40,$14.40,$0.00,NA,NA,NA,NA,NA,NA,NA,2.24,NA,NA,NA,1.78,1.78,NA,NA,NA,NA,NA,NA,1.43,0.4,0.92,1.3844,NA,4.62%,NA,NA,-23.53%,NA,NA,NA,8.1,$5.10,$9.30,-$1.20,NA,-$1.20,NA,NA,NA,NA,0.00%,NA,0.00%,NA,0.00%,$0.00,$0.10,$1.00,NA,-$0.90,$0.00,0.00%,100.00%,26.32%,20.83%,37.04%,0.00%,NA,NA
Sunway Global Inc.,SUWG,Medical Supplies,8060,NDQ,$3.00,0,18.5,$0.40,0,$0.40,-$14.80,$15.20,$19.80,$14.50,0.04,0.08,NA,NA,NA,0.01,0.02,NA,NA,-0.81,0.01,-0.75,-1.02,NA,NA,NA,NA,NA,NA,0.53,NA,-$1.36,NA,0.00%,-13.03%,27.25%,57.22%,45.96%,62.63%,18.2,$33.40,$41.40,$3.20,-$0.86,$9.10,$12.40,$10.41,$14.10,$11.77,16.01%,16.16%,3800.00%,76.77%,36.71%,$1.20,$1.70,$3.50,$14.50,$5.30,$0.00,15.94%,12.32%,0.00%,0.00%,0.00%,0.00%,NA,NA
Sunwest Bank,SWBC,Bank,6000,NDQ,"$2,400.00",14,0,$40.80,0,$40.80,$40.80,$0.00,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.8,0.45,0.4472,NA,28.62%,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,0.00%,NA,NA,$0.00,$0.00,$0.00,NA,NA,$0.00,NA,NA,0.00%,0.00%,NA,0.00%,NA,NA
Super Micro Computer Inc,SMCI,Computers/Peripherals,3573,NDQ,$11.12,108911,34.8,$399.30,11.3,$410.60,$340.00,$70.60,$505.60,$510.10,24.80,31.20,$0.55,20.22,0.83,2.24,0.79,12.64,11.11,2.85,2.16,0.67,0.67,NA,30.00%,NA,-12.19%,NA,1,0.46,NA,$0.45,NA,0.00%,2.37%,9.01%,15.93%,3.18%,5.32%,119.3,$178.60,$283.10,$61.90,$0.55,$16.10,$26.90,$19.00,$30.60,$18.55,29.35%,12.24%,17.19%,13.96%,24.94%,$3.60,$3.70,$65.50,$510.10,$12.80,$0.00,0.00%,15.90%,2.83%,2.75%,5.95%,0.00%,NA,45.39%
Superclick Inc,SPCK,Telecom. Equipment,4811,NDQ,$0.12,62410,44.9,$5.40,1,$6.40,$5.60,$0.80,$6.80,$7.20,3.38,3.00,NA,NA,NA,#VALUE!,0.79,2.95,2.80,NA,NA,0.82,0.78,NA,NA,NA,32.02%,-0.29,0.55,0.67,1.4223,-$0.10,6.19%,0.00%,-5.78%,NA,NA,23.53%,27.94%,NA,NA,$3.60,$0.00,$0.00,$1.60,$1.90,$1.73,$2.00,$1.83,9.02%,0.00%,12.50%,11.76%,22.22%,$0.00,$0.10,$1.40,$7.20,$1.80,$0.00,0.00%,5.56%,18.52%,15.63%,NA,0.00%,NA,0.30%
Superconductor Tech.,SCON,Electrical Equipment,3600,NDQ,$2.44,97413,17.9,$61.90,0.1,$62.00,$54.40,$7.60,$11.30,$9.90,NA,NA,NA,NA,NA,3.52,5.48,NA,NA,5.39,3.50,4.81,5.49,NA,NA,NA,-55.84%,2.96,1.5,0.74,2.6643,-$2.09,9.01%,NA,NA,-72.16%,-109.74%,-112.39%,-98.09%,10.1,$17.60,$19.40,$4.80,-$0.59,-$12.70,-$11.08,-$11.08,-$9.38,-$8.99,0.00%,42.48%,12.26%,67.26%,39.18%,$0.20,$1.70,$15.20,$9.90,-$13.20,$0.00,11.86%,13.92%,0.16%,0.16%,0.56%,0.00%,NA,NA
SuperGen Inc,SUPG,Drug,2834,NDQ,$2.62,248697,59.1,$169.20,0,$169.20,$82.50,$86.70,$38.40,$41.30,NA,NA,$0.03,87.33,NA,1.87,4.41,NA,NA,21.71,1.87,2.15,2.00,NA,NA,NA,62.99%,0.96,0.8,0.36,0.5479,-$0.90,23.36%,NA,NA,-9.17%,-236.87%,-21.61%,-23.44%,3.8,$90.50,$97.80,-$5.30,-$0.40,-$8.30,-$9.00,-$9.00,-$7.40,-$8.10,0.00%,-13.80%,51.24%,225.78%,88.65%,$1.10,$1.60,$16.30,$41.30,-$0.20,$0.00,0.82%,4.50%,0.00%,0.00%,0.00%,0.00%,NA,36.54%
Superior Bancorp,SUPR,Bank,6000,NDQ,$3.29,33023,10.1,$39.30,422.2,$461.50,$387.30,$74.20,NA,NA,NA,NA,NA,NA,NA,0.22,NA,6.08,6.08,0.73,0.76,NA,NA,NA,NA,NA,NA,0.32,NA,0.59,0.242,NA,NA,NA,NA,-91.05%,12.01%,NA,NA,530.2,$182.20,"$3,052.70",$0.00,NA,-$165.90,$63.70,$63.70,$63.70,NA,0.00%,NA,16.08%,NA,2.43%,$0.00,$0.00,$68.40,NA,-$166.40,$0.00,0.69%,0.00%,1074.30%,91.48%,69.85%,0.00%,NA,15.64%
Superior Energy Svcs,SPN,Oilfield Svcs/Equip.,3533,NYS,$24.29,984843,78,"$1,965.70",711.6,"$2,677.30","$2,632.40",$44.90,"$1,881.10","$1,676.60",5.87,20.02,$1.70,14.29,NA,1.61,1.04,3.76,3.01,1.40,1.39,1.40,1.57,47.00%,NA,NA,23.68%,1.59,1.55,0.40,0.5412,$245.29,45.82%,0.00%,54.12%,27.48%,24.03%,17.81%,37.22%,1886.2,"$1,219.50","$2,491.60",$304.60,-$33.11,$335.10,$700.20,$453.24,$875.70,$207.95,35.27%,16.19%,1.68%,2.39%,1.80%,$453.90,$175.50,$282.60,"$1,676.60",$98.20,$0.00,23.56%,44.75%,36.20%,26.58%,36.85%,0.00%,NA,91.06%
Superior Inds. Int'l,SUP,Auto Parts,3716,NYS,$15.30,202750,26.7,$426.70,0,$426.70,$279.80,$146.90,$754.90,$425.70,NA,NA,$0.26,58.85,NA,0.90,0.57,11.42,4.10,0.86,0.90,0.37,0.66,NA,NA,NA,-21.21%,1.03,1.05,0.35,0.3982,-$78.56,42.19%,NA,-320.64%,-2.82%,7.55%,-1.76%,3.25%,324.7,$471.60,$628.50,$110.20,-$48.06,-$13.30,$24.50,$24.50,$68.20,$103.06,0.00%,14.60%,34.43%,19.46%,23.37%,$13.20,$43.70,$25.70,$425.70,-$60.00,$8.45,0.00%,34.40%,0.00%,0.00%,0.00%,1.98%,19.00%,72.24%
Superior Uniform Group,SGC,Apparel,2300,AMS,$9.75,3354,6.1,$59.50,4.1,$63.60,$63.50,$0.10,$123.70,$104.40,25.87,85.00,NA,NA,NA,0.98,0.48,6.83,5.08,0.98,0.98,0.51,0.61,-13.00%,NA,NA,13.14%,0.6,0.5,0.39,0.2916,-$9.70,27.43%,54.00%,-188.56%,3.79%,7.95%,1.86%,7.52%,64.7,$60.70,$79.60,$56.40,-$8.80,$2.30,$9.30,$5.14,$12.50,$14.84,44.69%,45.59%,0.16%,0.08%,0.13%,$2.30,$3.20,$34.30,$104.40,$0.70,$1.24,0.63%,15.83%,6.89%,6.45%,6.33%,2.09%,NA,31.51%
Superior Well Services Inc,SWSI,Oilfield Svcs/Equip.,3533,NDQ,$14.26,363614,23.2,$370.10,211.5,$581.60,$580.00,$1.60,$520.90,$436.50,9.54,NA,NA,NA,NA,1.41,0.71,5.23,3.80,1.23,1.23,1.11,1.33,NA,NA,NA,50.53%,2.36,1.6,0.60,0.9054,$34.44,28.27%,0.00%,52.95%,14.78%,13.77%,7.45%,21.29%,472.5,$262.60,$658.20,$87.40,-$14.16,$38.80,$110.90,$65.04,$152.70,$30.61,41.35%,16.78%,0.28%,0.31%,0.24%,$90.40,$41.80,$45.70,$436.50,-$15.20,$0.00,6.35%,68.98%,57.15%,36.37%,44.61%,0.00%,NA,51.47%
Superlattice Power Inc,SLAT,Telecom. Equipment,4811,NDQ,$0.68,109661,115,$78.20,4.9,$83.10,$83.10,$0.00,NA,$0.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.50,NA,NA,NA,NA,NA,0.8,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-$5.40,$0.10,-$0.70,NA,-$0.90,NA,NA,NA,NA,0.00%,NA,0.00%,NA,0.00%,$0.00,$0.00,$0.40,$0.60,-$0.60,$0.00,0.00%,100.00%,6.27%,5.90%,NA,0.00%,NA,NA
Supertel Hospitality Inc,SPPR,R.E.I.T.,6720,NDQ,$1.50,51908,20.9,$32.80,202.8,$235.60,$234.90,$0.70,$121.90,$105.80,15.62,NA,$0.44,3.41,1.95,0.42,0.27,7.75,5.13,0.84,0.84,1.93,2.22,NA,8.00%,NA,8.03%,1.41,0.85,0.48,0.6027,$19.71,22.57%,0.00%,65.05%,2.66%,10.79%,1.72%,24.86%,280.9,$78.80,$321.50,-$8.40,$1.11,$2.10,$30.30,$30.30,$45.80,$10.59,0.00%,-6.89%,0.30%,0.57%,0.22%,$34.10,$15.50,$3.70,$105.80,-$3.50,$0.00,0.00%,97.64%,618.29%,86.08%,72.02%,0.00%,NA,14.57%
Supertex Inc.,SUPX,Semiconductor,3674,NDQ,$29.80,107628,12.9,$370.00,0,$370.00,$312.50,$57.50,$78.80,$62.10,29.60,67.27,NA,NA,1.85,2.21,4.70,17.96,15.02,2.84,2.21,3.97,5.03,40.00%,16.00%,NA,-5.46%,0.89,0.85,0.28,0.4416,-$5.60,30.80%,0.00%,-40.42%,7.46%,12.58%,15.86%,22.08%,110.1,$167.60,$190.30,$19.80,-$4.20,$12.50,$17.40,$13.85,$20.80,$19.44,20.43%,25.13%,15.54%,72.97%,30.22%,$2.00,$3.40,$27.90,$62.10,$5.50,$0.00,0.00%,4.47%,0.00%,0.00%,0.00%,0.00%,NA,71.83%
SUPERVALU INC.,SVU,Retail/Wholesale Food,5400,NYS,$12.71,3810012,212,"$2,720.00",8484,"$11,204.00","$10,964.00",$240.00,"$44,564.00","$43,167.00",5.77,7.39,$2.02,6.29,1.65,1.05,0.06,4.52,3.15,1.01,1.01,0.25,0.25,4.50%,3.50%,1.50%,1.17%,1.05,0.8,0.25,0.4437,$131.85,28.85%,88.13%,8.60%,18.25%,14.16%,1.06%,5.44%,10825,"$2,581.00","$17,604.00",-$91.00,$2.85,$471.00,"$2,424.00","$1,532.48","$3,481.00","$1,400.62",36.78%,-0.20%,2.14%,0.54%,1.36%,"$1,186.00","$1,057.00","$8,746.00","$43,167.00",$368.00,$415.10,30.29%,42.76%,311.91%,75.72%,76.67%,15.26%,2.80%,88.03%
Support.com Inc,SPRT,Internet,7370,NDQ,$2.64,168591,46.1,$124.00,0,$124.00,$51.90,$72.10,$48.90,$24.50,NA,NA,NA,NA,NA,1.18,2.54,NA,NA,1.56,1.18,1.06,2.12,NA,NA,NA,1.94%,1.26,0.9,0.29,0.3595,$0.95,40.06%,NA,NA,-18.12%,-58.96%,-39.06%,-40.15%,33.3,$105.40,$123.60,-$3.70,$1.85,-$19.10,-$19.63,-$19.63,-$18.13,-$20.58,0.00%,-7.57%,58.15%,147.44%,58.33%,$0.60,$1.50,$44.20,$24.50,-$23.90,$0.00,11.65%,1.05%,0.00%,0.00%,0.00%,0.00%,NA,71.83%
Supreme Inds Inc.,STS,Auto & Truck,3710,AMS,$1.98,13349,14.1,$27.40,33.6,$61.00,$57.60,$3.40,$268.80,$205.50,NA,NA,NA,NA,NA,0.39,0.10,38.40,9.93,0.57,0.59,0.21,0.28,-17.50%,NA,NA,-15.24%,1.52,1.05,0.63,0.693,-$14.26,24.24%,NA,-950.95%,-4.40%,1.49%,-1.15%,0.56%,100.6,$70.40,$125.50,$57.60,-$13.56,-$3.10,$1.50,$1.50,$5.80,$15.76,0.00%,21.43%,5.57%,1.26%,2.71%,$3.60,$4.30,$27.40,$205.50,-$6.90,$0.00,0.00%,36.49%,122.63%,55.08%,32.31%,0.00%,NA,27.82%
SureWest Communications,SURW,Telecom. Services,4810,NDQ,$9.96,36493,14.1,$134.90,241.6,$376.50,$373.00,$3.50,$230.40,$240.20,168.63,1349.00,NA,NA,NA,0.52,0.59,5.31,2.98,0.75,0.75,1.62,1.55,-9.50%,NA,NA,14.81%,NA,0.8,0.38,NA,$31.76,NA,0.00%,113.09%,0.31%,5.62%,0.35%,30.47%,499.4,$261.30,$633.80,$6.00,$0.26,$0.80,$70.20,$28.08,$125.20,-$3.68,60.00%,2.60%,0.93%,1.52%,0.55%,$86.50,$55.00,$70.50,$240.20,$0.10,$0.00,7.23%,82.55%,179.10%,64.17%,48.04%,0.00%,NA,35.66%
Surge Global Energy Inc,SRGG,Petroleum (Producing),1300,NDQ,$0.08,27989,31.4,$1.60,0,$1.60,$0.40,$1.20,NA,NA,0.62,NA,NA,NA,NA,0.30,NA,NA,NA,0.10,0.30,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA,NA,0.00%,NA,49.06%,NA,NA,NA,4.1,$5.30,$6.20,-$0.60,NA,$2.60,NA,NA,NA,NA,0.00%,NA,75.00%,NA,19.35%,$1.60,$0.00,$1.70,NA,-$16.80,$0.00,0.00%,16.13%,0.00%,0.00%,0.00%,0.00%,NA,0.02%
SurgiLight Inc.,SLGTQ,Medical Supplies,8060,NDQ,$0.00,45317,55.5,$1.00,1.8,$2.80,$2.80,$0.00,NA,$0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15,2.15,NA,14.00,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,1.3,-$0.50,$4.90,-$2.90,NA,-$1.50,$0.00,$0.00,$0.00,NA,0.00%,NA,0.00%,NA,0.00%,$0.00,$0.00,$1.00,$0.20,-$1.30,$0.00,2.04%,0.00%,180.00%,64.29%,NA,0.00%,NA,NA
SurModics Inc.,SRDX,Chemical (Specialty),2820,NDQ,$22.66,137103,18,$414.00,0,$414.00,$389.40,$24.60,$97.10,$121.50,28.16,11.04,$1.10,20.60,2.56,2.92,4.26,11.69,9.88,3.32,2.92,4.01,3.20,14.50%,11.00%,10.00%,33.63%,1.04,0.8,0.32,0.418,$20.14,30.62%,0.00%,110.33%,10.37%,15.57%,15.14%,34.29%,117.2,$141.80,$191.00,$9.30,$2.34,$14.70,$33.30,$18.25,$39.40,-$1.89,45.19%,9.58%,5.94%,25.33%,12.88%,$23.90,$6.10,$61.30,$121.50,$37.50,$0.00,18.27%,21.94%,0.00%,0.00%,0.00%,0.00%,6.90%,79.57%
Surrey Bancorp,SRYB,Bank,6000,NDQ,$8.50,1170,3.2,$27.20,10.7,$37.90,$36.60,$1.30,NA,NA,18.13,NA,NA,NA,NA,1.25,NA,5.38,5.38,1.18,1.17,NA,NA,NA,NA,NA,NA,NA,0.4,0.32,NA,NA,NA,0.00%,NA,6.91%,14.16%,NA,NA,31.1,$21.70,$204.20,$0.00,NA,$1.50,$6.80,$4.40,$6.80,NA,35.26%,NA,3.43%,NA,0.64%,$0.00,$0.00,$4.80,NA,NA,$0.00,0.05%,0.00%,39.34%,28.23%,33.02%,0.00%,NA,NA
Susquehanna Bancshs.,SUSQ,Bank,6000,NDQ,$5.89,1106784,86.2,$505.40,1517.9,"$2,023.30","$1,785.60",$237.70,NA,NA,6.12,25.40,$0.06,98.17,NA,0.31,NA,4.02,4.02,0.61,0.64,NA,NA,-3.00%,-1.00%,NA,NA,0.7,1.2,0.62,0.4371,NA,43.93%,0.00%,NA,4.99%,11.42%,NA,NA,2935.4,"$1,655.20","$13,683.00",$0.00,NA,$82.60,$444.60,$335.16,$444.60,NA,24.62%,NA,11.75%,NA,1.74%,$0.00,$0.00,$205.90,NA,$19.90,$0.00,7.83%,0.00%,300.34%,75.02%,47.84%,0.00%,2.10%,45.28%
Susser Holdings Corp,SUSS,Retail/Wholesale Food,5400,NDQ,$8.59,39986,16.9,$147.40,408.6,$556.00,$547.70,$8.30,"$4,239.90","$3,513.10",8.93,10.17,$0.55,15.62,0.46,0.72,0.03,5.13,3.71,0.91,0.91,0.13,0.16,NA,19.44%,NA,56.84%,0.88,0.9,0.30,0.6072,$31.43,23.72%,0.00%,47.99%,8.08%,10.83%,0.39%,2.52%,604.5,$204.20,$824.40,-$16.50,$2.83,$16.50,$106.80,$65.49,$147.60,$34.06,38.68%,-0.39%,1.49%,0.20%,1.01%,$69.40,$40.80,$196.80,"$3,513.10",$14.50,$0.00,31.40%,49.58%,277.20%,73.49%,66.68%,0.00%,NA,36.17%
Sussex Bancorp,SBBX,Bank,6000,NDQ,$3.36,2977,3.2,$11.40,46,$57.40,$49.80,$7.60,NA,NA,4.56,NA,NA,NA,NA,0.36,NA,4.18,4.18,0.71,0.74,NA,NA,3.00%,NA,NA,NA,0.61,0.25,0.49,0.4649,NA,8.60%,0.00%,NA,7.84%,16.93%,NA,NA,70.3,$31.90,$440.60,$0.00,NA,$2.50,$11.90,$11.90,$11.90,NA,0.00%,NA,13.24%,NA,1.72%,$0.00,$0.00,$8.70,NA,NA,$0.00,0.64%,0.00%,403.51%,80.14%,59.05%,0.00%,NA,15.87%
